id,district,county,subcounty,location_id,code
131,mubende,buwekula,butoloogo,1066,3juGiFcfO2Gf
132,mubende,buwekula,kitenga,1073,YsM9DvvU5kRP
133,mubende,buwekula,kiyuni,0,0
134,mubende,buwekula,madudu,1075,tKqpS9BqZ8eo
135,mubende,buwekula,mubende town council,1077,aPF4KB68ymdd
136,mubende,kasambya,bagezza,1064,QL5BxVQcnXfN
137,mubende,kasambya,kasambya,1068,M5TmDuaiFbcE
138,mubende,kasambya,kibalinga,1070,CCRhy2HLxuQk
139,mubende,kasambya,kigando,1072,F7TYuRcZMV6T
140,mubende,kasambya,nabingoola,1079,ur7hIPGKhnWt
141,mubende,kassanda,bukuya,1065,9wzQvLeedQ1d
142,mubende,kassanda,kalwana,1067,GXJleyqovkQA
143,mubende,kassanda,kassanda,1069,UOuDkFPtpXzx
144,mubende,kassanda,kiganda,1071,Io1Howt7bCh7
145,mubende,kassanda,kitumbi,1074,sM6uDK3Zns4b
146,mubende,kassanda,makokoto,1076,6Nwpyq06pepv
147,mubende,kassanda,manyogaseka,0,0
148,mubende,kassanda,myanzi,1078,E9PCrcWRr4Dz
149,mubende,kassanda,nalutuntu,0,0
150,mukono,mukono,koome,1083,tNc9WraTHEra
151,mukono,mukono,kyampisi,1084,CE72Y7SWJFxt
152,mukono,mukono,mpatta,1085,DX9ykdo5VW7C
153,mukono,mukono,mpunge,1086,1AMcxeujtphP
154,mukono,mukono,nakisunga,1090,Sd50ZF7eI65g
155,mukono,mukono,nama,1091,ISsMqu2pfFra
156,mukono,mukono,ntenjeru,1093,B9tveE14MEPD
157,mukono,mukono mc,central division,1087,j0pOZVKiqW6Z
158,mukono,mukono mc,goma division,1080,EUcPQqpShjC6
159,mukono,nakifuma,kasawo,1081,mhpD6gd5ZpHc
160,mukono,nakifuma,kimenyedde,1082,CjtnOGHIXUXJ
161,mukono,nakifuma,nabbaale,1088,uGQHfNJKSlbJ
162,mukono,nakifuma,nagojje,1089,zbd0FGBTBkUi
163,mukono,nakifuma,ntunda,1094,Y7XfW8vxkVbw
164,mukono,nakifuma,seeta-namuganga,0,0
165,nakaseke,nakaseke,butalangu town council,1103,pbEsC0fEsm94
166,nakaseke,nakaseke,kapeeka,1104,R1JcaZvpBJGA
167,nakaseke,nakaseke,kasangombe,1105,CecvBCWCzSmh
168,nakaseke,nakaseke,kikamulo,1106,yeAznmsEp32r
169,nakaseke,nakaseke,kinoni,748,DAL0IFEINd3R
170,nakaseke,nakaseke,kinyogoga,1108,tW4U0hIwT3xi
171,nakaseke,nakaseke,kito,1109,9IGDfFHtKvJE
172,nakaseke,nakaseke,kiwoko town council,1110,7nnCvulaA7pZ
173,nakaseke,nakaseke,nakaseke,1111,tcGW6a0YMJpI
174,nakaseke,nakaseke,nakaseke town council,1112,aTjYWBkt3Qn9
175,nakaseke,nakaseke,ngoma,1113,DJ9pgAt5SEte
176,nakaseke,nakaseke,ngoma town council,1114,MFntO8CwdIYN
177,nakaseke,nakaseke,semuto,1115,kDhBM2RONX9u
178,nakaseke,nakaseke,semuto town council,1116,eKacYiaNxNkL
179,nakaseke,nakaseke,wakyato,0,0
180,nakasongola,buruli,kakooge,1118,g7qzEftwKeHV
181,nakasongola,buruli,kakooge town council,1119,bf2CWRvNHm3A
182,nakasongola,buruli,kalongo,1120,RI51db7TtOBD
183,nakasongola,buruli,kalungi,1121,MbsEfClPqBWQ
184,nakasongola,buruli,lwabiyata,1122,0ulJPFYkLshx
185,nakasongola,buruli,lwampanga,1123,pRhYe5OAoyOS
186,nakasongola,buruli,migeera town council,1124,E7xa7ivoKvYl
187,nakasongola,buruli,nabisweera,1125,2Fdu9ZyiLiOy
188,nakasongola,buruli,nakasongola town council,1126,5spMFT77zX3C
189,nakasongola,buruli,nakitoma,1127,Nq2oGKC0LJZk
190,nakasongola,buruli,wabinyonyi,1128,f8FnWm0hpCp6
191,rakai,kakuuto,kakuuto,1261,rdv6K34VYeWx
192,rakai,kakuuto,kasasa,1265,crAXouZyJxPf
193,rakai,kakuuto,kibanda,1266,VrxbVMAYKgAH
194,rakai,kakuuto,kifamba,1267,DfdOyyAyGyZl
195,rakai,kakuuto,kyebe,1270,9O4xZt42pbBs
196,rakai,kooki,byakabanda,1255,eGiP9vqQ9o7r
197,rakai,kooki,ddwaniro,1256,piQJhBdrD0iU
198,rakai,kooki,kacheera,1259,AK9hDDWOk7xO
199,rakai,kooki,kagamba,1260,7V1ATB04frTc
200,rakai,kooki,kiziba,1269,p5k1GC5tlqwa
